music_name,load_arr,sample_rate,genre
rock.00000.wav,"[-0.03225994 -0.04964922 -0.05456545 ...  0.11482245  0.12490658
  0.06926158]",45600,rock
rock.00001.wav,[0.35017252 0.55987716 0.6438257  ... 0.06556354 0.05458106 0.02686858],45600,rock
rock.00002.wav,"[-0.07872862 -0.11419237 -0.11532182 ... -0.25167662 -0.14857857
 -0.05290616]",45600,rock
rock.00003.wav,"[-0.09102476 -0.13855703 -0.14906426 ... -0.05125798 -0.05906328
 -0.03386584]",45600,rock
rock.00004.wav,[0.01288472 0.04283266 0.07313253 ... 0.21021879 0.1749363  0.08580443],45600,rock
rock.00005.wav,"[ 0.05421559  0.08258189  0.09113607 ... -0.10233944 -0.05586075
 -0.01938766]",45600,rock
rock.00006.wav,"[ 0.10807174  0.16582163  0.18066788 ...  0.02570044 -0.01444363
 -0.01726554]",45600,rock
rock.00007.wav,[0.09710857 0.1455925  0.15212159 ... 0.02718725 0.0306152  0.01759081],45600,rock
rock.00008.wav,"[-0.26750973 -0.39118892 -0.3868198  ... -0.08556633 -0.07007145
 -0.03299632]",45600,rock
rock.00009.wav,"[-0.02581957 -0.03798044 -0.03875111 ... -0.05559078 -0.04795254
 -0.02410867]",45600,rock
rock.00010.wav,"[-0.07199496 -0.09906807 -0.09189111 ...  0.14049427  0.10773204
  0.05077452]",45600,rock
rock.00011.wav,"[-0.07643543 -0.13339236 -0.16222142 ... -0.07735498 -0.06373916
 -0.03097935]",45600,rock
rock.00012.wav,"[-0.00566496 -0.00056731  0.01331086 ... -0.03073427 -0.02743286
 -0.01365124]",45600,rock
rock.00013.wav,"[ 0.0634904   0.09517144  0.10009634 ... -0.05183662 -0.0413873
 -0.01937925]",45600,rock
rock.00014.wav,"[-0.01642378 -0.0256548  -0.02886957 ...  0.48765928  0.39899257
  0.19508442]",45600,rock
rock.00015.wav,[0.01111925 0.0185342  0.02275006 ... 0.03226656 0.02517847 0.01191811],45600,rock
rock.00016.wav,[0.2189819  0.2928021  0.25557712 ... 0.37228236 0.27893174 0.1269024 ],45600,rock
rock.00017.wav,"[-0.01473005 -0.03947163 -0.05945247 ...  0.10699913  0.04098202
  0.004514  ]",45600,rock
rock.00018.wav,"[-0.06456438 -0.09731477 -0.08642446 ... -0.19867346 -0.17057337
 -0.08528404]",45600,rock
rock.00019.wav,"[-0.0943629  -0.13975604 -0.13673367 ...  0.0715436   0.08262499
  0.04876837]",45600,rock
rock.00020.wav,[0.20337233 0.31906998 0.35904533 ... 0.02925124 0.01188739 0.00165461],45600,rock
rock.00021.wav,[0.06273544 0.09205509 0.09528317 ... 0.19592558 0.13540812 0.05597628],45600,rock
rock.00022.wav,[0.0807514  0.12144941 0.11934239 ... 0.1787297  0.14672612 0.07219863],45600,rock
rock.00023.wav,"[-0.04847363 -0.06881268 -0.05159577 ...  0.05947098  0.04211527
  0.01852617]",45600,rock
rock.00024.wav,"[-0.08906475 -0.14967032 -0.19653408 ... -0.41704047 -0.3623869
 -0.18099119]",45600,rock
rock.00025.wav,"[ 0.03460779  0.05627998  0.05389607 ... -0.1465001  -0.11152841
 -0.05435549]",45600,rock
rock.00026.wav,[0.05059752 0.07787486 0.08687899 ... 0.20297578 0.17242453 0.08546016],45600,rock
rock.00027.wav,"[-0.0018322  -0.02053813 -0.0387833  ... -0.14382175 -0.13349168
 -0.07091391]",45600,rock
rock.00028.wav,"[-0.08549494 -0.09488546 -0.06624877 ...  0.0883917   0.07062583
  0.03473918]",45600,rock
rock.00029.wav,"[ 0.36117616  0.42600653  0.3451848  ... -0.16282703 -0.1756125
 -0.10910279]",45600,rock
rock.00030.wav,"[-0.03396401 -0.01711831  0.01466309 ...  0.13291654  0.11189818
  0.05710404]",45600,rock
rock.00031.wav,"[ 0.04751444  0.02720977 -0.02425154 ...  0.09498164  0.06234027
  0.02947843]",45600,rock
rock.00032.wav,"[ 0.04452475  0.03795189  0.01887447 ... -0.3727297  -0.23325285
  0.        ]",45600,rock
rock.00033.wav,[0.12669063 0.1392787  0.09009521 ... 0.27025798 0.23850276 0.12306366],45600,rock
rock.00034.wav,"[ 0.07486021  0.08559418  0.06121361 ... -0.0341853  -0.04551164
  0.        ]",45600,rock
rock.00035.wav,"[-0.10980977 -0.14100334 -0.1295492  ... -0.2923465  -0.24506181
 -0.12324335]",45600,rock
rock.00036.wav,[0.29486382 0.31207937 0.23786995 ... 0.35975003 0.30805412 0.13048305],45600,rock
rock.00037.wav,"[-0.09648848 -0.106789   -0.06797609 ... -0.07778367 -0.060367
 -0.0297242 ]",45600,rock
rock.00038.wav,[0.31971884 0.33128715 0.17108354 ... 0.17971396 0.12365571 0.04175746],45600,rock
